raw_n,feat_num,level,comb_idx,elapsed_time,peak_mem_used
10000,1,5000,1,1.8300526,6837.23828125
10000,1,5000,2,2.3079054,6837.37890625
10000,1,5000,3,2.2222788,6837.2890625
10000,1,5000,4,2.066679,6829.37890625
10000,1,5000,5,1.864424,6829.37890625
10000,1,10000,1,4.6814287,7974.39453125
10000,1,10000,2,5.2059828,7974.39453125
10000,1,10000,3,5.3859143,7976.32421875
10000,1,10000,4,5.0726642,7976.296875
10000,1,10000,5,4.7945892,7976.296875
10000,2,5000,1,1.6345609,7221.9296875
10000,2,5000,2,1.7874975,7221.91796875
10000,2,5000,3,1.5330382,7222.6796875
10000,2,5000,4,1.6209004,7222.6796875
10000,2,5000,5,1.5868783,7222.6796875
10000,2,10000,1,3.1731882,7222.67578125
10000,2,10000,2,4.6449679,7222.703125
10000,2,10000,3,3.5433304,7985.64453125
10000,2,10000,4,3.2552186,7985.64453125
10000,2,10000,5,3.6676188,7985.64453125
10000,3,5000,1,1.6461717,7222.84375
10000,3,5000,2,1.7033333,7223.4765625
10000,3,5000,3,1.9849324,6842.69140625
10000,3,5000,4,1.8702922,7225.85546875
10000,3,5000,5,1.6972872,6844.3828125
10000,3,10000,1,3.0274206,7989.35546875
10000,3,10000,2,3.0586156,7981.3828125
10000,3,10000,3,4.208487,7981.7265625
10000,3,10000,4,3.1052343,7981.7265625
10000,3,10000,5,3.1553985,7981.7265625
10000,4,5000,1,1.7350869,7218.7578125
10000,4,5000,2,1.6847051,7226.66796875
10000,4,5000,3,1.5481092,6845.1953125
10000,4,5000,4,1.6402515,7226.66796875
10000,4,5000,5,1.5349709,6845.1953125
10000,4,10000,1,3.070994,7989.60546875
10000,4,10000,2,3.162675,7989.60546875
10000,4,10000,3,3.1714281,7989.60546875
10000,4,10000,4,3.0002068,7989.60546875
10000,4,10000,5,3.1035081,7989.60546875
10000,5,5000,1,1.7387799,6845.1953125
10000,5,5000,2,1.6478774,7222.6328125
10000,5,5000,3,1.6593325,6841.16015625
10000,5,5000,4,1.6669314,7222.6328125
10000,5,5000,5,1.6366684,7222.6328125
10000,5,10000,1,3.1048523,7985.5703125
10000,5,10000,2,3.1955396,7985.5703125
10000,5,10000,3,3.108977,7986.125
10000,5,10000,4,3.1224281,7986.125
10000,5,10000,5,3.1312642,7986.125
10000,6,5000,1,1.6757018,7223.1875
10000,6,5000,2,1.6496324,7223.1875
10000,6,5000,3,1.6739052,7223.1875
10000,6,5000,4,1.6993439,7223.1875
10000,6,5000,5,1.6461561,7223.1875
10000,6,10000,1,3.1681942,7986.68359375
10000,6,10000,2,3.2926593,7978.7734375
10000,6,10000,3,3.1159213,7977.30078125
10000,6,10000,4,3.11717,7977.30078125
10000,6,10000,5,3.1842204,7977.30078125
10000,7,5000,1,1.720865,6842.3828125
10000,7,5000,2,1.6635548,7223.85546875
10000,7,5000,3,1.6702784,7223.85546875
10000,7,5000,4,1.6402486,7223.85546875
10000,7,5000,5,1.6868094,7223.85546875
10000,7,10000,1,3.1083063,7987.796875
10000,7,10000,2,3.1894051,7987.796875
10000,7,10000,3,3.1200742,7987.796875
10000,7,10000,4,3.1623767,7987.75390625
10000,7,10000,5,3.219646,7987.78515625
10000,8,5000,1,1.788964,7224.3984375
10000,8,5000,2,1.6733728,7224.3984375
10000,8,5000,3,1.6809645,7224.3984375
10000,8,5000,4,1.6302067,6842.92578125
10000,8,5000,5,1.7083905,7224.41796875
10000,8,10000,1,3.1771414,7988.359375
10000,8,10000,2,3.2334165,7988.359375
10000,8,10000,3,3.2326654,7988.359375
10000,8,10000,4,3.1282165,7988.359375
10000,8,10000,5,3.1216074,7988.359375
10000,9,5000,1,1.8602724,7224.76171875
10000,9,5000,2,1.7237674,7224.76171875
10000,9,5000,3,1.6470551,6843.2890625
10000,9,5000,4,1.6829618,7224.76171875
10000,9,5000,5,1.7110243,7224.76171875
10000,9,10000,1,3.147008,7989.390625
10000,9,10000,2,3.1932874,7989.390625
10000,9,10000,3,3.1622616,7989.390625
10000,9,10000,4,3.2029779,7989.390625
10000,9,10000,5,3.2873902,7989.3984375
10000,10,5000,1,1.6658654,6843.984375
10000,10,10000,1,3.2563241,7989.3984375
20000,1,5000,1,3.8617931,7990.8125
20000,1,5000,2,3.1590164,7227.87109375
20000,1,5000,3,3.7975633,7991.328125
20000,1,5000,4,3.7404061,7991.328125
20000,1,5000,5,3.7842496,7991.47265625
20000,1,10000,1,8.2712374,9517.35546875
20000,1,10000,2,7.5780499,9517.35546875
20000,1,10000,3,7.9777859,9517.38671875
20000,1,10000,4,8.2629056,9517.54296875
20000,1,10000,5,8.8375558,9517.54296875
20000,1,15000,1,15.2970285,11043.3828125
20000,1,15000,2,12.9284605,11043.3828125
20000,1,15000,3,13.4787209,11043.3828125
20000,1,15000,4,13.520156,11043.390625
20000,1,15000,5,15.1769946,11043.390625
20000,1,20000,1,20.4879633,12570.01171875
20000,1,20000,2,19.8098409,12574.890625
20000,1,20000,3,20.1529852,12577.203125
20000,1,20000,4,19.8830515,12578.70703125
20000,1,20000,5,20.2146525,12580.5859375
20000,2,5000,1,3.5753968,8004.26171875
20000,2,5000,2,3.1010228,7241.828125
20000,2,5000,3,3.0773312,8004.77734375
20000,2,5000,4,2.7200887,7241.8359375
20000,2,5000,5,2.8791418,8004.77734375
20000,2,10000,1,5.7227565,9530.66015625
20000,2,10000,2,5.4113302,9530.66015625
20000,2,10000,3,5.5272029,9530.62890625
20000,2,10000,4,5.222277,9530.62890625
20000,2,10000,5,5.9449953,9530.62890625
20000,2,15000,1,7.8912601,11056.5
20000,2,15000,2,8.1217029,11056.47265625
20000,2,15000,3,7.9302189,11057.0078125
20000,2,15000,4,10.2287398,11056.98046875
20000,2,15000,5,11.0374621,11057.6015625
20000,2,20000,1,10.9137438,12583.484375
20000,2,20000,2,11.0720162,12583.515625
20000,2,20000,3,11.3557741,12584.015625
20000,2,20000,4,16.5174609,12584.015625
20000,2,20000,5,17.2685661,12584.015625
20000,3,5000,1,3.5220678,7243.46875
20000,3,5000,2,3.3334285,8006.41015625
20000,3,5000,3,3.3147749,8006.41015625
20000,3,5000,4,3.2764307,8006.41796875
20000,3,5000,5,3.3454271,8006.41796875
20000,3,10000,1,5.7065182,9532.30078125
20000,3,10000,2,5.6601705,9532.26953125
20000,3,10000,3,5.6031585,9532.26953125
20000,3,10000,4,5.6890553,9532.28125
20000,3,10000,5,5.4201618,9532.7890625
20000,3,15000,1,8.4222499,11059.18359375
20000,3,15000,2,8.3328129,11059.18359375
20000,3,15000,3,8.1532487,11059.18359375
20000,3,15000,4,8.2055106,11059.21484375
20000,3,15000,5,8.1932534,11059.21484375
20000,3,20000,1,10.9996102,12585.07421875
20000,3,20000,2,11.1732304,12585.10546875
20000,3,20000,3,11.0911733,12585.10546875
20000,3,20000,4,10.9780153,12585.10546875
20000,3,20000,5,11.096115,12585.10546875
20000,4,5000,1,3.1628545,8007.46484375
20000,4,5000,2,3.425298,8007.46484375
