dataset,best_params,num_boost_round
BalancedSampling_sampled_data_1000_set_1,"{'lambda_l1': 0.0007200954749212824, 'lambda_l2': 5.442688569874497, 'num_leaves': 217, 'feature_fraction': 0.9008378024648336, 'bagging_fraction': 0.9497587986693203, 'bagging_freq': 0, 'min_child_samples': 15, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",59
clhs_sampled_data_1000_set_1,"{'lambda_l1': 0.0005099708761515234, 'lambda_l2': 3.5753199446345316e-07, 'num_leaves': 361, 'feature_fraction': 0.7958710933435209, 'bagging_fraction': 0.5306118790226093, 'bagging_freq': 2, 'min_child_samples': 12, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",42
FCMtp2sampled_data_1000_set_1,"{'lambda_l1': 3.1094344194604524e-05, 'lambda_l2': 0.0003803134261036629, 'num_leaves': 105, 'feature_fraction': 0.726873951386945, 'bagging_fraction': 0.669685010948798, 'bagging_freq': 3, 'min_child_samples': 1, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",57
FSCS_sampled_data_1000_set_1,"{'lambda_l1': 1.4266438827731292e-05, 'lambda_l2': 7.306097847506022, 'num_leaves': 323, 'feature_fraction': 0.7872804232737807, 'bagging_fraction': 0.9977336677661492, 'bagging_freq': 1, 'min_child_samples': 59, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",62
BalancedSampling_sampled_data_1000_set_2,"{'lambda_l1': 1.4192655867089563e-08, 'lambda_l2': 0.09435151044386923, 'num_leaves': 80, 'feature_fraction': 0.8669656268858148, 'bagging_fraction': 0.8425024538716349, 'bagging_freq': 10, 'min_child_samples': 44, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",56
clhs_sampled_data_1000_set_2,"{'lambda_l1': 2.32131552197699e-08, 'lambda_l2': 0.002207467800522172, 'num_leaves': 337, 'feature_fraction': 0.9413004313430373, 'bagging_fraction': 0.8833426962138166, 'bagging_freq': 14, 'min_child_samples': 25, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",59
FCMtp2sampled_data_1000_set_2,"{'lambda_l1': 2.523088967052929e-07, 'lambda_l2': 0.6403748678297886, 'num_leaves': 185, 'feature_fraction': 0.5080521359240476, 'bagging_fraction': 0.8109458195103763, 'bagging_freq': 12, 'min_child_samples': 2, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",96
FSCS_sampled_data_1000_set_2,"{'lambda_l1': 0.002734054409301833, 'lambda_l2': 0.7856711727426913, 'num_leaves': 101, 'feature_fraction': 0.8144529857267292, 'bagging_fraction': 0.9783237066569487, 'bagging_freq': 14, 'min_child_samples': 18, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",42
BalancedSampling_sampled_data_1000_set_3,"{'lambda_l1': 0.7265112199556426, 'lambda_l2': 7.991235683354846, 'num_leaves': 176, 'feature_fraction': 0.8087962170991905, 'bagging_fraction': 0.9333423965664825, 'bagging_freq': 6, 'min_child_samples': 12, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",68
clhs_sampled_data_1000_set_3,"{'lambda_l1': 0.8748932210452496, 'lambda_l2': 0.0010071303251775513, 'num_leaves': 458, 'feature_fraction': 0.7154395042246361, 'bagging_fraction': 0.895635139577634, 'bagging_freq': 6, 'min_child_samples': 83, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",59
FCMtp2sampled_data_1000_set_3,"{'lambda_l1': 0.0011339152125616676, 'lambda_l2': 3.3590062749670846, 'num_leaves': 391, 'feature_fraction': 0.6218306160282854, 'bagging_fraction': 0.8000027247982631, 'bagging_freq': 10, 'min_child_samples': 1, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",100
FSCS_sampled_data_1000_set_3,"{'lambda_l1': 5.244027392293853e-06, 'lambda_l2': 3.9489945361844967, 'num_leaves': 47, 'feature_fraction': 0.8615839805851162, 'bagging_fraction': 0.983852906898827, 'bagging_freq': 15, 'min_child_samples': 29, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",46
BalancedSampling_sampled_data_1000_set_4,"{'lambda_l1': 2.550907307925202e-05, 'lambda_l2': 2.2930577660821498e-08, 'num_leaves': 383, 'feature_fraction': 0.657812371925032, 'bagging_fraction': 0.6302197587948639, 'bagging_freq': 4, 'min_child_samples': 22, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",48
