dataset,best_params,test_accuracy,test_f1,roc_auc
BalancedSampling_sampled_data_1000_set_1,"{'lambda_l1': 1.0860608855109197e-07, 'lambda_l2': 8.805372781313087, 'num_leaves': 196, 'feature_fraction': 0.7317333485351585, 'bagging_fraction': 0.585744898331847, 'bagging_freq': 5, 'min_child_samples': 69, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6502061375042278,0.615700031887785,0.8009069407364092
clhs_sampled_data_1000_set_1,"{'lambda_l1': 3.7534480584526904, 'lambda_l2': 5.286589847540587, 'num_leaves': 387, 'feature_fraction': 0.7557542858427881, 'bagging_fraction': 0.4387561415733382, 'bagging_freq': 6, 'min_child_samples': 66, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.644044865759235,0.6109075373367826,0.7722951471028001
FCMtp1sampled_data_1000_set_1,"{'lambda_l1': 2.894277023453619, 'lambda_l2': 0.00010126214697682327, 'num_leaves': 347, 'feature_fraction': 0.8665526023805751, 'bagging_fraction': 0.9148934401000435, 'bagging_freq': 13, 'min_child_samples': 1, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.4698015412320715,0.30937244260327607,0.5619095415244595
FCMtp2sampled_data_1000_set_1,"{'lambda_l1': 2.097040241526912, 'lambda_l2': 0.00021338912649107637, 'num_leaves': 29, 'feature_fraction': 0.8036699233497764, 'bagging_fraction': 0.8192129438160839, 'bagging_freq': 0, 'min_child_samples': 57, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5576499410382748,0.48194010246291213,0.6138914547714452
FSCS_sampled_data_1000_set_1,"{'lambda_l1': 3.549810368848183, 'lambda_l2': 4.764723392524774e-06, 'num_leaves': 409, 'feature_fraction': 0.21011012158296347, 'bagging_fraction': 0.2829338916349119, 'bagging_freq': 0, 'min_child_samples': 47, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6537529823663306,0.6299554913405347,0.7974885429394867
kmeans_sampled_data_1000_set_1,"{'lambda_l1': 4.790593423419174e-05, 'lambda_l2': 6.4500689251452235, 'num_leaves': 100, 'feature_fraction': 0.6632402120484178, 'bagging_fraction': 0.5786385644586255, 'bagging_freq': 5, 'min_child_samples': 3, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5616081467735595,0.4882272115948898,0.6831419944836685
BalancedSampling_sampled_data_1000_set_2,"{'lambda_l1': 3.836924673281151, 'lambda_l2': 0.006953389553010008, 'num_leaves': 91, 'feature_fraction': 0.7449158687409886, 'bagging_fraction': 0.7151405018887133, 'bagging_freq': 8, 'min_child_samples': 88, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6473448940974286,0.6190656427802185,0.7612263511277949
clhs_sampled_data_1000_set_2,"{'lambda_l1': 3.278030020707566, 'lambda_l2': 0.006403382290404808, 'num_leaves': 343, 'feature_fraction': 0.5870343432337327, 'bagging_fraction': 0.6762306124254276, 'bagging_freq': 13, 'min_child_samples': 29, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6576014918687667,0.6297959298141492,0.8111378958663027
FCMtp1sampled_data_1000_set_2,"{'lambda_l1': 2.255636512912749, 'lambda_l2': 5.662601256595923e-05, 'num_leaves': 54, 'feature_fraction': 0.9239663076415111, 'bagging_fraction': 0.9016138750652508, 'bagging_freq': 1, 'min_child_samples': 21, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.4927006298392036,0.3760556741865068,0.5896167682337767
FCMtp2sampled_data_1000_set_2,"{'lambda_l1': 2.6597490358303427e-08, 'lambda_l2': 6.225286186813446, 'num_leaves': 373, 'feature_fraction': 0.8088569217840379, 'bagging_fraction': 0.9743648419608937, 'bagging_freq': 14, 'min_child_samples': 43, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5168429424186191,0.4361376864510619,0.583419940044852
