sampling_method,dataset_level,r2,rmsle,r2_percentage_diff,rmsle_percentage_diff
BalancedSampling,1000,0.7021617326148886,0.6039708719596405,0.39554514208928193,0.711511856221736
BalancedSampling,10000,0.8150304520279358,0.5171970951574761,1.1400416958794013,0.04205066751805653
BalancedSampling,5000,0.7671553612805408,0.5467452930573651,0.8615901586808805,-2.649791176120775
FCMtp2sampled,1000,0.47986463764802867,0.6883184917456959,-31.388639321493763,14.776389327158878
FCMtp2sampled,10000,0.704628621436998,0.6401009001855016,-12.560116036246827,23.81548018784576
FCMtp2sampled,5000,0.6531297975757396,0.6431765315355694,-14.1298969043946,14.52018051307955
FSCS,1000,0.7198781860812731,0.5806978195106285,2.928655280573089,-3.169245323415504
FSCS,10000,0.8580836629828139,0.47111125269421705,6.482668514648404,-8.87238877913199
FSCS,5000,0.7971255573973026,0.5135508000361377,4.8019154047410195,-8.560204797331838
SRS,1000,0.6993953084483209,0.5997039075551605,0.0,0.0
SRS,10000,0.8058435001229995,0.5169797017419608,0.0,0.0
SRS,5000,0.7606020885389679,0.5616272421628877,0.0,0.0
clhs,1000,0.7073658277529924,0.5886593312040629,1.1396300787826164,-1.8416715669109962
clhs,10000,0.8213594561025591,0.5218777067065652,1.925430431242714,0.9474269392203416
clhs,5000,0.7701269009594869,0.5589062461782417,1.2522727144774315,-0.48448433059748996
