dataset,best_params,r2,rmsle
BalancedSampling_sampled_data_1000_set_1,"{'n_estimators': 955, 'max_depth': 16, 'min_samples_split': 12, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.7009355289099313,0.6174826453325838
clhs_sampled_data_1000_set_1,"{'n_estimators': 522, 'max_depth': 9, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.7083626189857848,0.5885893145958102
FCMtp2sampled_data_1000_set_1,"{'n_estimators': 97, 'max_depth': 16, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.45024329129479745,0.7391447096556184
FSCS_sampled_data_1000_set_1,"{'n_estimators': 658, 'max_depth': 9, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.7188624535292738,0.5829457876610243
BalancedSampling_sampled_data_1000_set_2,"{'n_estimators': 887, 'max_depth': 32, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.7062751749306897,0.5842185123243006
clhs_sampled_data_1000_set_2,"{'n_estimators': 454, 'max_depth': 24, 'min_samples_split': 11, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.7015519639281798,0.6245359699199847
FCMtp2sampled_data_1000_set_2,"{'n_estimators': 217, 'max_depth': 22, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.4830345527932298,0.6771067956972635
FSCS_sampled_data_1000_set_2,"{'n_estimators': 985, 'max_depth': 17, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.7208916623994067,0.5799488655425071
BalancedSampling_sampled_data_1000_set_3,"{'n_estimators': 371, 'max_depth': 31, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.7093452898576214,0.6175266621242453
clhs_sampled_data_1000_set_3,"{'n_estimators': 145, 'max_depth': 19, 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.7068425750340549,0.6549850965559781
FCMtp2sampled_data_1000_set_3,"{'n_estimators': 459, 'max_depth': 14, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.4872062187247097,0.685387587718182
FSCS_sampled_data_1000_set_3,"{'n_estimators': 587, 'max_depth': 17, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.7302811272799629,0.5785692908081509
BalancedSampling_sampled_data_1000_set_4,"{'n_estimators': 366, 'max_depth': 28, 'min_samples_split': 14, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.6959112669007348,0.59379261877274
