dataset,best_params,test_accuracy,test_f1
BalancedSampling_sampled_data_1000_set_1,"{'n_estimators': 190, 'max_depth': 20, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.6611574780836068,0.6227808531845394
clhs_sampled_data_1000_set_1,"{'n_estimators': 210, 'max_depth': 16, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.6663680491439123,0.6350881855750126
FCMtp1sampled_data_1000_set_1,"{'n_estimators': 665, 'max_depth': 29, 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.5296591189564231,0.4524342138687237
FCMtp2sampled_data_1000_set_1,"{'n_estimators': 859, 'max_depth': 16, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.5756035578144854,0.518068229048363
FSCS_sampled_data_1000_set_1,"{'n_estimators': 154, 'max_depth': 24, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.6719351329609755,0.6444828160436361
kmeans_sampled_data_1000_set_1,"{'n_estimators': 948, 'max_depth': 13, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.600257786147194,0.5533273804754856
BalancedSampling_sampled_data_1000_set_2,"{'n_estimators': 650, 'max_depth': 15, 'min_samples_split': 14, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.6600696571078588,0.6210530191523996
clhs_sampled_data_1000_set_2,"{'n_estimators': 828, 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 11, 'max_features': 'sqrt'}",0.6592926421251817,0.6172084187738044
FCMtp1sampled_data_1000_set_2,"{'n_estimators': 949, 'max_depth': 16, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.5470733959211284,0.4891596938639371
FCMtp2sampled_data_1000_set_2,"{'n_estimators': 833, 'max_depth': 23, 'min_samples_split': 16, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.539906575375024,0.4683241069813831
FSCS_sampled_data_1000_set_2,"{'n_estimators': 971, 'max_depth': 24, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.6693389887835602,0.6419525240809325
kmeans_sampled_data_1000_set_2,"{'n_estimators': 442, 'max_depth': 29, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.5980455787847486,0.5404000780012453
BalancedSampling_sampled_data_1000_set_3,"{'n_estimators': 340, 'max_depth': 19, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.6728675509401881,0.6513826436396075
clhs_sampled_data_1000_set_3,"{'n_estimators': 237, 'max_depth': 25, 'min_samples_split': 14, 'min_samples_leaf': 8, 'max_features': 'sqrt'}",0.662949183220133,0.6268216617455026
FCMtp1sampled_data_1000_set_3,"{'n_estimators': 531, 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.5378314883036391,0.4622637752370777
FCMtp2sampled_data_1000_set_3,"{'n_estimators': 844, 'max_depth': 14, 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.5802656477105482,0.5198932191650232
