dataset,best_params,test_accuracy,test_f1,roc_auc
BalancedSampling_sampled_data_1000_set_1,"{'n_estimators': 190, 'max_depth': 20, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.6597679924675254,0.6212157987642933,0.8093617060070187
clhs_sampled_data_1000_set_1,"{'n_estimators': 210, 'max_depth': 16, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.6645854853601236,0.6330738762606046,0.7955317745455499
FCMtp1sampled_data_1000_set_1,"{'n_estimators': 665, 'max_depth': 29, 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.5262311116799064,0.4488119946698181,0.6075959093288725
FCMtp2sampled_data_1000_set_1,"{'n_estimators': 859, 'max_depth': 16, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.5724589324728273,0.514716369938789,0.6526657085299133
FSCS_sampled_data_1000_set_1,"{'n_estimators': 154, 'max_depth': 24, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.670033731591601,0.6424569120953377,0.8072075605737433
kmeans_sampled_data_1000_set_1,"{'n_estimators': 948, 'max_depth': 13, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.5973599773294452,0.5502404340813594,0.7134230787897514
BalancedSampling_sampled_data_1000_set_2,"{'n_estimators': 650, 'max_depth': 15, 'min_samples_split': 14, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.6589087053102118,0.6198352412999859,0.7973212053958744
clhs_sampled_data_1000_set_2,"{'n_estimators': 828, 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 11, 'max_features': 'sqrt'}",0.6585156271425046,0.6163931071600662,0.8166905956378975
FCMtp1sampled_data_1000_set_2,"{'n_estimators': 949, 'max_depth': 16, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.5436453886446116,0.48560579575940516,0.6203510638352518
FCMtp2sampled_data_1000_set_2,"{'n_estimators': 833, 'max_depth': 23, 'min_samples_split': 16, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.5371641695538105,0.4654167911443615,0.6368572897082669
FSCS_sampled_data_1000_set_2,"{'n_estimators': 971, 'max_depth': 24, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.6671176400683774,0.6395045603926347,0.7937892126523344
kmeans_sampled_data_1000_set_2,"{'n_estimators': 442, 'max_depth': 29, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.595275748905323,0.5373617680647967,0.7161454918596976
BalancedSampling_sampled_data_1000_set_3,"{'n_estimators': 340, 'max_depth': 19, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.6697320669512674,0.6476213713998132,0.801709788636121
clhs_sampled_data_1000_set_3,"{'n_estimators': 237, 'max_depth': 25, 'min_samples_split': 14, 'min_samples_leaf': 8, 'max_features': 'sqrt'}",0.6617608073642738,0.6255366277458987,0.8073794953308465
