,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
0,17.13,1.49,6.1,15.8,23.8,0.93,8.8,9.9,33.1,0.0,2.5
1,2.69,1.69,9.7,14.8,23.0,0.58,8.8,9.6,32.3,30.0,1.8
2,1.2,1.71,27.1,11.8,17.6,0.33,7.3,8.5,25.2,38.0,2.5
3,0.39,1.7,36.8,10.7,15.7,0.2,5.4,7.6,21.1,76.0,2.7
4,0.18,1.9,27.4,14.5,17.2,0.13,5.7,7.7,25.7,129.0,1.8
5,0.24,1.91,26.2,9.2,22.9,0.11,5.2,10.3,24.3,160.0,1.9
6,0.04,2.02,20.1,7.2,29.0,0.09,3.6,10.7,28.6,184.0,0.8
7,6.25,1.53,9.0,10.8,25.4,1.12,12.1,13.9,24.5,0.0,4.3
8,2.51,1.58,32.5,7.5,18.9,0.35,8.5,10.5,18.8,30.0,3.3
9,2.16,1.55,43.5,7.4,14.5,0.21,8.9,7.5,15.6,81.0,2.6
10,0.48,1.56,43.1,10.8,11.4,0.17,13.0,4.4,15.9,104.0,1.4
11,0.25,1.62,34.0,13.0,15.1,0.18,13.1,5.7,17.8,125.0,1.3
12,0.12,1.77,30.4,14.3,14.5,0.17,13.4,4.0,22.6,151.0,0.8
13,0.13,1.74,30.3,7.7,22.0,0.15,13.8,5.7,19.2,180.0,1.3
14,31.02,1.37,4.1,10.9,28.3,1.02,8.6,11.0,35.4,0.0,1.7
15,5.56,1.78,4.4,9.9,28.8,0.27,7.8,13.4,33.5,25.0,2.2
16,7.03,1.8,7.6,10.2,25.8,0.14,7.0,12.6,34.2,65.0,2.6
17,4.5,1.75,21.4,8.4,22.8,0.2,6.0,10.2,29.1,82.0,2.1
18,0.46,1.81,26.2,5.8,21.7,0.14,2.9,13.3,26.6,136.0,3.5
19,0.66,1.85,23.0,4.3,23.3,0.13,3.6,16.9,25.0,170.0,3.9
20,10.53,1.54,2.8,14.9,27.2,0.51,7.1,5.2,41.7,0.0,1.1
21,10.19,1.59,6.0,17.6,21.4,0.22,8.9,3.8,41.2,33.0,1.1
22,10.79,1.59,10.9,12.8,24.6,0.19,7.4,7.1,35.7,90.0,1.5
23,4.85,1.61,23.6,10.8,20.6,0.23,7.3,7.1,28.1,106.0,2.5
24,0.96,1.73,28.7,9.3,20.9,0.18,6.3,8.3,23.9,128.0,2.6
25,0.42,1.79,26.3,11.0,23.1,0.14,7.7,6.8,24.4,156.0,0.7
26,0.34,1.74,20.6,8.3,31.4,0.12,3.9,11.0,23.6,177.0,1.2
27,23.67,1.25,9.5,10.2,23.6,1.2,11.1,4.8,38.5,0.0,2.3
28,1.77,1.71,34.9,5.9,18.9,0.37,9.2,3.9,26.5,38.0,0.7
