"X","elevation","aspect","slope","horizontal_distance_to_hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","class","index"
0,2754,146,5,150,2,1790,227,239,146,700,"Lodgepole_Pine",0
4,2366,165,3,390,156,1165,222,240,154,582,"Douglas_fir",4
10,3207,198,1,216,0,845,218,239,157,2287,"Lodgepole_Pine",10
11,2812,90,11,192,14,774,237,223,116,514,"Lodgepole_Pine",11
12,2958,272,6,60,7,3136,204,242,176,1324,"Spruce_Fir",12
23,3078,339,3,309,50,2741,212,234,160,1354,"Lodgepole_Pine",23
27,3345,333,14,0,0,1492,188,222,172,1712,"Krummholz",27
32,3156,315,24,484,151,649,149,212,200,1986,"Spruce_Fir",32
35,3040,303,17,390,110,1471,170,229,199,3180,"Spruce_Fir",35
43,3282,86,18,210,49,2053,244,207,86,1337,"Krummholz",43
52,3088,327,5,600,45,693,208,234,165,824,"Lodgepole_Pine",52
56,2322,293,2,424,141,1224,214,238,162,1167,"Ponderosa_Pine",56
58,2454,358,12,108,22,760,202,218,154,1406,"Ponderosa_Pine",58
67,2699,47,9,379,17,1731,223,220,131,5965,"Lodgepole_Pine",67
80,3271,97,13,277,-59,700,241,220,106,3500,"Douglas_fir",80
82,2934,51,15,240,-10,485,226,207,111,1697,"Douglas_fir",82
84,3042,221,17,618,333,2486,197,254,189,1254,"Lodgepole_Pine",84
90,3132,128,19,85,26,3282,248,224,96,3178,"Lodgepole_Pine",90
99,2431,89,9,30,-2,421,234,225,122,1337,"Douglas_fir",99
111,3080,80,5,297,46,6638,227,230,137,3070,"Lodgepole_Pine",111
122,2902,148,16,295,96,2068,240,236,120,1172,"Lodgepole_Pine",122
124,3037,63,4,404,119,2912,224,231,143,1825,"Spruce_Fir",124
128,2893,16,9,430,36,2967,212,222,146,3626,"Spruce_Fir",128
138,3190,108,2,256,2,5647,223,236,149,3007,"Lodgepole_Pine",138
146,2928,356,28,234,59,2506,163,177,143,1245,"Lodgepole_Pine",146
