Var1,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
20304,2719,125,28,85,33,3221,253,208,62,6093,Aspen
6046,2487,73,11,0,0,638,233,218,115,1087,Lodgepole_Pine
44421,2854,320,27,108,59,4723,142,204,197,4875,Lodgepole_Pine
69282,2811,95,28,330,162,1110,251,186,44,722,Lodgepole_Pine
78803,3011,247,15,721,105,5974,187,250,200,3545,Spruce_Fir
101773,2973,323,5,150,21,1802,208,235,166,612,Lodgepole_Pine
55500,3109,31,17,750,193,4345,214,202,119,3861,Spruce_Fir
48933,2857,126,6,85,7,4933,231,236,137,4388,Lodgepole_Pine
14444,2964,59,19,67,12,361,230,196,90,335,Lodgepole_Pine
77775,2545,188,28,228,141,1530,210,247,153,741,Ponderosa_Pine
53400,2955,35,4,256,10,4548,219,231,148,5836,Lodgepole_Pine
73449,3005,340,17,127,26,4870,181,213,169,1034,Lodgepole_Pine
59215,2951,87,17,816,156,2810,242,210,92,1556,Lodgepole_Pine
26941,2702,103,21,201,87,1509,250,207,75,2402,Lodgepole_Pine
79705,3358,341,35,212,80,1077,126,165,163,1529,Spruce_Fir
43455,2557,349,11,242,80,899,200,222,160,1095,Ponderosa_Pine
72937,3112,261,11,361,58,598,194,246,191,1015,Lodgepole_Pine
1348,2968,160,10,295,22,5103,230,242,143,2160,Spruce_Fir
50734,3405,96,7,618,-48,789,232,230,131,553,Krummholz
73304,3020,41,5,30,-1,3129,220,229,145,2431,Cottonwood_Willow
87534,2580,299,30,124,41,836,122,212,223,1082,Lodgepole_Pine
9899,2560,180,29,85,34,2397,217,242,137,895,Ponderosa_Pine
77581,2919,45,7,60,0,3787,222,225,138,6209,Lodgepole_Pine
74983,2708,336,13,67,17,1978,191,222,170,6378,Lodgepole_Pine
26335,3197,29,10,674,101,1415,217,219,137,2389,Spruce_Fir
89080,2749,321,21,30,6,1506,162,215,190,1746,Douglas_fir
6576,3205,20,6,95,8,3877,216,227,148,1465,Douglas_fir
21933,2679,340,16,108,14,2460,184,214,169,845,Lodgepole_Pine
103767,2850,66,6,210,54,742,227,227,135,794,Lodgepole_Pine
87562,2907,285,35,421,273,1368,105,215,239,1639,Lodgepole_Pine
24112,2642,114,17,300,-29,1136,247,221,97,513,Lodgepole_Pine
102749,3024,75,5,247,16,2296,227,230,137,912,Lodgepole_Pine
72377,2959,282,23,175,73,5197,150,234,221,1260,Lodgepole_Pine
28913,2978,284,12,60,7,2470,187,240,192,845,Spruce_Fir
33903,3063,343,20,170,42,765,175,205,166,1878,Spruce_Fir
81036,3365,292,16,834,227,4049,174,236,201,2404,Lodgepole_Pine
58883,2939,91,21,618,-87,713,247,201,72,1543,Lodgepole_Pine
86133,2703,66,16,95,14,1350,234,206,100,1499,Lodgepole_Pine
