,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
51989,3065,206,16,127,36,658,208,253,176,618,Lodgepole_Pine
42709,3228,51,10,242,73,684,225,218,126,1677,Spruce_Fir
88321,3255,196,21,295,102,1634,210,252,167,4175,Spruce_Fir
63605,2908,84,22,67,17,2070,245,196,69,1592,Lodgepole_Pine
55358,2590,5,14,0,0,1890,201,211,147,7044,Lodgepole_Pine
46602,3222,273,21,108,33,3935,159,240,218,1465,Spruce_Fir
108078,2986,69,13,216,-18,3948,233,214,110,1343,Lodgepole_Pine
86702,2898,50,12,474,68,1687,225,214,122,2962,Lodgepole_Pine
24010,3209,53,19,95,9,4265,227,196,95,3379,Spruce_Fir
55376,2514,22,8,579,137,666,215,222,144,571,Ponderosa_Pine
89162,3178,356,7,524,46,3225,209,228,157,3541,Spruce_Fir
7598,2850,76,28,60,-9,350,241,176,47,313,Spruce_Fir
51922,3293,167,16,466,14,4070,232,244,138,2032,Spruce_Fir
56273,2955,332,8,582,36,4845,201,230,168,5303,Spruce_Fir
77461,3222,357,4,0,0,3586,213,232,157,4119,Spruce_Fir
82556,3337,183,20,510,131,1766,221,249,151,1515,Spruce_Fir
69872,3351,165,11,190,25,1233,230,244,144,1538,Spruce_Fir
58922,3018,103,8,212,27,2748,234,230,127,6567,Spruce_Fir
106061,3279,288,8,552,89,750,197,239,182,591,Spruce_Fir
41648,2728,21,9,30,1,511,214,221,142,2413,Lodgepole_Pine
108692,2949,253,30,283,136,1476,140,243,232,351,Lodgepole_Pine
85776,2950,112,23,95,24,1640,252,209,73,1510,Lodgepole_Pine
11716,3352,146,10,210,26,1200,234,239,135,1471,Krummholz
107036,3096,226,19,212,20,920,190,254,196,1484,Lodgepole_Pine
75762,3004,145,27,90,22,6215,245,224,89,3487,Lodgepole_Pine
18025,3340,10,19,417,155,4097,196,198,135,3776,Krummholz
41511,2969,208,9,256,87,1924,214,249,170,1050,Lodgepole_Pine
55741,3057,160,13,192,27,1663,233,242,138,2268,Spruce_Fir
73677,3396,195,11,560,196,2452,218,250,165,808,Spruce_Fir
63413,3286,103,10,0,0,1550,237,227,120,3032,Spruce_Fir
19606,3099,284,10,124,18,1299,191,240,189,2866,Lodgepole_Pine
53225,2913,172,12,170,45,3282,228,246,148,2016,Lodgepole_Pine
14191,3050,345,13,360,35,4710,193,218,164,2916,Spruce_Fir
2803,3047,262,18,42,-9,3325,175,246,209,1165,Spruce_Fir
95304,2884,142,14,301,101,942,240,236,121,2948,Lodgepole_Pine
82628,2968,83,18,865,170,3252,242,206,87,834,Lodgepole_Pine
7003,2558,155,16,484,104,509,237,240,128,618,Ponderosa_Pine
1826,3233,173,8,283,3,4536,225,244,152,830,Lodgepole_Pine
15411,3071,148,6,297,8,384,229,239,144,1537,Lodgepole_Pine
69612,3341,314,19,577,113,1980,166,222,194,1022,Spruce_Fir
10007,3224,29,20,134,26,1052,209,193,113,1543,Ponderosa_Pine
96244,2641,25,15,331,26,1832,211,205,127,2097,Douglas_fir
39953,3149,131,16,297,92,4860,244,230,109,1706,Spruce_Fir
22064,2911,271,20,150,27,5042,163,242,217,1452,Lodgepole_Pine
37527,3345,4,12,474,106,3211,204,216,149,2465,Spruce_Fir
92258,2828,56,7,182,28,1761,225,225,134,2579,Lodgepole_Pine
22168,3271,314,14,485,142,3670,182,228,186,1987,Spruce_Fir
41612,3244,281,23,390,138,330,150,235,221,760,Spruce_Fir
61279,2864,100,7,0,0,3663,232,231,131,2877,Lodgepole_Pine
48565,2803,88,5,342,108,1338,228,231,137,722,Lodgepole_Pine
71717,3332,128,8,30,3,1471,234,235,133,3424,Lodgepole_Pine
22771,2963,331,19,162,48,4585,172,213,179,2190,Lodgepole_Pine
10522,3150,115,12,474,71,5197,240,228,117,1048,Lodgepole_Pine
25010,3041,26,18,446,163,2101,209,199,122,2460,Spruce_Fir
14292,2504,109,16,127,31,1653,245,221,99,674,Ponderosa_Pine
1166,3165,37,32,124,51,3904,200,152,0,1260,Spruce_Fir
2054,3216,324,15,120,21,4277,182,223,181,2311,Spruce_Fir
72224,2685,25,18,30,9,1187,208,198,122,1850,Lodgepole_Pine
12736,2544,66,5,247,-7,624,225,230,141,5426,Lodgepole_Pine
3001,3168,274,18,192,33,1182,169,242,211,1431,Spruce_Fir
96108,3155,23,10,0,0,1947,214,219,140,2023,Spruce_Fir
104533,2791,58,9,30,-6,3277,227,221,127,5943,Lodgepole_Pine
51157,3069,72,13,466,-14,5030,235,214,109,1415,Spruce_Fir
4487,3176,202,18,433,155,3109,209,253,173,1115,Spruce_Fir
44706,3261,9,12,600,58,1922,206,215,146,957,Spruce_Fir
18875,2699,304,36,190,121,1634,101,197,223,1290,Douglas_fir
11088,2452,261,32,85,52,543,125,236,239,1048,Ponderosa_Pine
59956,3057,191,12,765,-1,190,219,249,162,1044,Lodgepole_Pine
40045,2753,73,13,480,23,2568,235,215,110,2103,Lodgepole_Pine
44841,2405,166,10,108,1,0,229,244,145,201,Douglas_fir
76276,2377,64,23,272,103,270,233,187,73,1019,Ponderosa_Pine
5954,2925,54,20,379,138,2076,227,194,92,2197,Spruce_Fir
67442,2673,14,7,331,21,859,213,225,149,1717,Lodgepole_Pine
16640,3281,240,5,362,72,5007,210,244,172,1019,Lodgepole_Pine
33210,3177,248,11,541,121,3021,196,248,190,192,Lodgepole_Pine
89041,3018,54,15,120,30,5501,227,206,108,4712,Lodgepole_Pine
47095,3201,351,22,228,34,1315,175,197,156,658,Spruce_Fir
58554,2995,37,27,350,109,2078,208,170,83,2372,Spruce_Fir
103294,3348,228,15,212,56,2744,197,253,190,960,Spruce_Fir
