,elevation,aspect,slope,horizontal_distance_to_hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,class
32237,2942,104,8,277,29,3688,234,230,129,4286,Lodgepole_Pine
92089,2932,86,8,270,10,4097,232,227,129,4317,Ponderosa_Pine
91848,2937,103,9,240,15,4190,235,229,125,4403,Lodgepole_Pine
84659,2937,103,9,240,15,4190,235,229,125,4403,Lodgepole_Pine
61334,2945,106,7,247,32,3677,232,232,132,4294,Lodgepole_Pine
53394,2935,104,7,300,22,3799,232,231,131,4584,Lodgepole_Pine
101418,2939,90,8,331,26,3839,232,228,129,4606,Lodgepole_Pine
19825,2918,105,7,247,9,4008,232,232,133,4194,Lodgepole_Pine
7189,2918,105,7,247,9,4008,232,232,133,4194,Lodgepole_Pine
67078,2918,105,7,247,9,4008,232,232,133,4194,Lodgepole_Pine
77150,2937,97,8,331,24,3683,233,229,129,4242,Lodgepole_Pine
987,2936,116,9,270,23,3632,236,231,126,4228,Lodgepole_Pine
88908,2930,106,7,277,17,3605,232,232,132,4526,Lodgepole_Pine
69723,2937,139,9,300,15,4135,234,238,135,4380,Lodgepole_Pine
36510,2930,100,7,330,17,3628,231,231,133,4184,Lodgepole_Pine
13047,2962,95,8,339,20,4434,234,228,126,4061,Spruce_Fir
35698,2926,83,9,306,18,3978,233,224,122,4201,Lodgepole_Pine
100400,2926,83,9,306,18,3978,233,224,122,4201,Lodgepole_Pine
32923,2975,106,7,268,44,4831,232,232,132,4484,Spruce_Fir
108445,2929,98,7,182,16,3703,231,231,132,4460,Lodgepole_Pine
29847,2911,76,7,256,14,4072,229,227,131,3871,Lodgepole_Pine
47859,2929,139,10,242,25,4329,236,237,131,4087,Lodgepole_Pine
74687,2929,139,10,242,25,4329,236,237,131,4087,Lodgepole_Pine
78522,2929,114,6,180,21,4142,230,234,138,4308,Lodgepole_Pine
95087,2929,114,6,180,21,4142,230,234,138,4308,Lodgepole_Pine
26098,2975,118,8,228,44,4790,234,233,130,4505,Spruce_Fir
11059,2936,56,7,277,23,4632,225,226,135,4056,Lodgepole_Pine
102485,2936,56,7,277,23,4632,225,226,135,4056,Lodgepole_Pine
78427,2936,56,7,277,23,4632,225,226,135,4056,Lodgepole_Pine
108223,2939,84,9,277,36,3529,233,225,125,4652,Lodgepole_Pine
87282,2950,124,9,182,22,4678,235,234,130,4439,Lodgepole_Pine
108786,2900,84,7,216,20,3845,231,227,129,3982,Lodgepole_Pine
82743,2940,117,7,342,27,3610,232,234,135,4573,Lodgepole_Pine
52792,2913,110,8,283,13,4773,234,231,129,4624,Lodgepole_Pine
7544,2934,81,9,313,31,3510,232,225,125,4614,Lodgepole_Pine
85218,2934,81,9,313,31,3510,232,225,125,4614,Lodgepole_Pine
29241,2971,135,7,350,22,4293,231,237,139,4595,Lodgepole_Pine
11830,2971,135,7,350,22,4293,231,237,139,4595,Lodgepole_Pine
10777,3001,53,10,258,16,4206,226,219,127,4097,Spruce_Fir
47892,2922,131,11,277,13,3993,238,234,126,4198,Lodgepole_Pine
76803,2903,95,8,190,23,3861,234,228,126,3979,Krummholz
79271,2927,90,8,351,31,3504,232,228,129,4506,Lodgepole_Pine
87399,2916,100,7,192,12,4183,231,231,133,3824,Lodgepole_Pine
13682,2931,98,7,342,24,3482,231,231,132,4586,Lodgepole_Pine
43072,2938,50,8,331,25,3814,224,223,134,4621,Lodgepole_Pine
88850,2909,45,7,256,29,3921,222,225,138,4072,Lodgepole_Pine
71538,2933,90,5,277,20,3644,228,231,137,4546,Lodgepole_Pine
22732,2980,100,7,379,21,4321,232,231,131,4663,Lodgepole_Pine
69901,2903,138,7,256,23,3854,231,238,139,4015,Lodgepole_Pine
60982,2922,88,8,210,9,3499,232,227,128,4126,Lodgepole_Pine
52768,2913,70,8,255,13,4789,229,225,129,4667,Lodgepole_Pine
27087,2942,47,8,242,26,4763,223,223,135,4086,Ponderosa_Pine
87101,2918,133,8,180,14,4256,233,236,135,3969,Lodgepole_Pine
5824,2965,96,7,170,19,4834,232,230,131,4315,Lodgepole_Pine
58696,2965,96,7,170,19,4834,232,230,131,4315,Lodgepole_Pine
78298,2965,96,7,170,19,4834,232,230,131,4315,Lodgepole_Pine
91511,2903,145,8,242,23,3829,231,239,141,3985,Lodgepole_Pine
10016,2903,145,8,242,23,3829,231,239,141,3985,Lodgepole_Pine
82140,2948,119,6,180,20,4652,230,235,138,4432,Lodgepole_Pine
52116,2972,95,5,234,31,4827,229,232,138,4381,Lodgepole_Pine
41044,2972,95,5,234,31,4827,229,232,138,4381,Lodgepole_Pine
75021,2939,45,8,306,26,4602,223,222,134,4080,Lodgepole_Pine
43184,2939,45,8,306,26,4602,223,222,134,4080,Lodgepole_Pine
26471,2949,137,11,297,17,4524,237,236,128,4002,Spruce_Fir
102495,2968,94,7,170,18,4876,232,229,130,4294,Lodgepole_Pine
25029,2968,94,7,170,18,4876,232,229,130,4294,Ponderosa_Pine
15056,2938,72,10,240,25,3621,232,221,120,4236,Lodgepole_Pine
50616,2945,104,10,300,32,4596,238,227,119,4028,Ponderosa_Pine
59341,2909,99,6,247,6,4761,230,232,136,4477,Lodgepole_Pine
27878,2909,99,6,247,6,4761,230,232,136,4477,Lodgepole_Pine
9191,2942,118,5,234,24,3810,228,236,142,4718,Lodgepole_Pine
64242,2913,127,7,192,9,4410,232,236,136,4015,Spruce_Fir
27944,2939,60,8,379,26,4547,226,224,132,4164,Lodgepole_Pine
55025,2925,137,8,150,16,4157,233,237,136,4305,Lodgepole_Pine
3040,2988,99,9,270,10,4673,235,228,125,5013,Lodgepole_Pine
12439,2912,43,8,242,8,3972,222,222,135,4131,Lodgepole_Pine
54614,2907,52,8,283,16,4025,225,222,131,3811,Lodgepole_Pine
80814,2932,99,6,180,19,4698,230,232,136,3930,Spruce_Fir
97569,2939,45,10,272,26,4630,223,219,130,4039,Lodgepole_Pine
92240,2925,151,7,255,16,4245,230,240,143,4024,Lodgepole_Pine
71997,2925,151,7,255,16,4245,230,240,143,4024,Lodgepole_Pine
14517,2942,45,7,192,29,4715,222,225,138,4306,Spruce_Fir
43831,2913,74,6,277,10,4760,228,228,135,4688,Lodgepole_Pine
43551,2909,114,6,256,6,4767,232,233,135,4498,Lodgepole_Pine
54706,2932,64,7,180,19,4716,227,226,133,3948,Spruce_Fir
91664,2932,64,7,180,19,4716,227,226,133,3948,Spruce_Fir
3045,2939,60,9,297,26,4782,227,221,127,3879,Spruce_Fir
31717,3014,114,9,210,39,4189,236,231,125,5143,Lodgepole_Pine
61559,3014,114,9,210,39,4189,236,231,125,5143,Lodgepole_Pine
3060,2922,122,6,153,15,4080,231,235,137,4215,Lodgepole_Pine
7437,2922,55,8,216,9,4726,225,223,132,4020,Lodgepole_Pine
30960,2932,70,5,240,19,4614,225,230,140,3945,Spruce_Fir
102448,3000,51,9,228,19,3793,225,220,128,4910,Lodgepole_Pine
69440,2937,94,6,162,10,4660,230,231,134,4367,Lodgepole_Pine
50006,2937,94,6,162,10,4660,230,231,134,4367,Lodgepole_Pine
2474,2914,94,7,190,1,3506,231,230,132,4403,Lodgepole_Pine
101453,2915,114,8,270,57,3376,233,233,131,4355,Lodgepole_Pine
42882,2978,54,8,175,41,4759,225,223,131,4563,Spruce_Fir
46214,2978,54,8,175,41,4759,225,223,131,4563,Spruce_Fir
27378,2937,131,5,297,19,3805,228,237,143,4673,Lodgepole_Pine
50141,2913,45,7,323,21,4087,222,225,138,3843,Lodgepole_Pine
10446,2927,90,5,240,20,3466,227,232,139,4731,Lodgepole_Pine
46900,2917,156,10,234,13,4414,232,241,140,4049,Spruce_Fir
41989,2904,144,11,190,24,3928,236,238,131,4036,Lodgepole_Pine
60225,2904,144,11,190,24,3928,236,238,131,4036,Lodgepole_Pine
8850,2962,48,6,300,7,4010,222,227,140,4768,Lodgepole_Pine
10913,2962,48,6,300,7,4010,222,227,140,4768,Lodgepole_Pine
89969,2962,48,6,300,7,4010,222,227,140,4768,Lodgepole_Pine
48342,2978,82,5,277,50,4821,227,231,138,4447,Spruce_Fir
52014,3011,85,9,297,51,5028,233,225,124,4345,Spruce_Fir
95727,2908,53,7,234,4,4143,224,225,135,3820,Lodgepole_Pine
53788,2923,93,5,192,10,3613,228,232,138,4471,Lodgepole_Pine
90786,2920,79,8,360,7,3558,231,226,128,4089,Lodgepole_Pine
66215,2918,131,5,247,14,4172,228,237,143,3906,Lodgepole_Pine
25287,2991,52,8,256,42,4353,225,223,132,5140,Krummholz
27693,2909,110,6,330,3,4685,230,234,138,4179,Lodgepole_Pine
24530,3018,86,7,270,41,4849,230,229,132,3554,Lodgepole_Pine
22537,3018,86,7,270,41,4849,230,229,132,3554,Lodgepole_Pine
42986,3027,85,9,228,52,4134,233,225,124,5100,Lodgepole_Pine
99963,3027,85,9,228,52,4134,233,225,124,5100,Spruce_Fir
55861,2928,54,9,255,-1,4564,225,221,130,3976,Lodgepole_Pine
108719,2984,71,9,400,19,4335,230,223,126,4697,Lodgepole_Pine
70056,2926,33,7,201,29,4147,219,226,143,3990,Lodgepole_Pine
93505,2961,71,10,331,28,4663,231,221,121,3862,Lodgepole_Pine
68739,2930,102,8,124,17,3623,234,230,128,4418,Lodgepole_Pine
33285,2930,102,8,124,17,3623,234,230,128,4418,Lodgepole_Pine
102155,2905,63,5,313,25,3756,225,229,139,3967,Lodgepole_Pine
39221,2921,93,10,212,17,4513,237,224,118,3933,Lodgepole_Pine
16021,2968,62,8,234,43,4109,227,223,130,5208,Lodgepole_Pine
11871,2968,62,8,234,43,4109,227,223,130,5208,Lodgepole_Pine
67859,2907,39,9,242,16,4030,221,220,134,3840,Lodgepole_Pine
48452,2936,42,7,255,20,4807,221,225,139,3907,Aspen
66071,2936,42,7,255,20,4807,221,225,139,3907,Spruce_Fir
79626,2936,42,7,255,20,4807,221,225,139,3907,Spruce_Fir
14910,2940,148,6,295,29,3677,228,240,145,4621,Lodgepole_Pine
48206,3005,77,8,190,53,4897,230,226,129,3922,Spruce_Fir
36090,2898,85,5,228,9,3987,228,231,137,3810,Lodgepole_Pine
79780,2959,36,7,192,23,4478,220,225,141,3912,Spruce_Fir
70587,2914,43,9,182,17,4081,222,220,133,3930,Lodgepole_Pine
90728,2914,43,9,182,17,4081,222,220,133,3930,Lodgepole_Pine
49857,2972,131,9,218,0,4643,235,235,131,4946,Lodgepole_Pine
47341,2942,30,8,212,29,4724,218,223,141,4209,Lodgepole_Pine
108363,2927,131,5,212,14,3601,228,237,144,4480,Lodgepole_Pine
57155,2912,128,5,228,8,4168,229,236,141,3877,Lodgepole_Pine
102176,2912,128,5,228,8,4168,229,236,141,3877,Lodgepole_Pine
72046,2937,118,4,277,19,3794,226,236,145,4681,Lodgepole_Pine
20246,2930,92,6,390,28,3522,230,231,135,4545,Lodgepole_Pine
97985,2932,83,6,134,7,4468,229,230,135,4454,Spruce_Fir
50281,2932,83,6,134,7,4468,229,230,135,4454,Spruce_Fir
58935,2949,123,11,379,36,3778,239,232,122,4322,Lodgepole_Pine
33101,2997,79,11,268,16,3818,234,220,117,4869,Lodgepole_Pine
17075,2997,79,11,268,16,3818,234,220,117,4869,Lodgepole_Pine
18662,2906,105,11,218,26,3372,238,227,118,4307,Lodgepole_Pine
109074,2908,40,7,255,31,4094,221,224,138,3651,Lodgepole_Pine
6567,2992,41,9,216,13,3827,221,219,132,4901,Cottonwood_Willow
55431,2919,92,6,400,16,4578,230,231,135,4468,Lodgepole_Pine
44439,2937,92,8,150,30,3886,233,227,126,5098,Lodgepole_Pine
38965,2926,58,10,242,13,4696,228,218,123,4044,Lodgepole_Pine
