,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
1,2.69,1.69,9.7,14.8,23.0,0.58,8.8,9.6,32.3,30.0,1.8
20,10.53,1.54,2.8,14.9,27.2,0.51,7.1,5.2,41.7,0.0,1.1
21,10.19,1.59,6.0,17.6,21.4,0.22,8.9,3.8,41.2,33.0,1.1
22,10.79,1.59,10.9,12.8,24.6,0.19,7.4,7.1,35.7,90.0,1.5
42,9.77,1.5,1.74,21.13,16.02,0.5,3.7,3.81,53.22,24.0,0.38
44,23.14,1.42,3.31,16.08,14.08,0.14,6.73,3.5,55.82,29.0,0.48
74,46.7,1.47,2.3,9.1,34.6,0.78,3.3,4.8,45.8,0.0,0.1
75,39.1,1.53,1.8,9.4,35.9,0.35,1.9,5.2,45.7,10.0,0.1
76,48.3,1.54,1.6,8.4,37.5,0.32,1.9,5.6,44.9,41.0,0.1
77,42.7,1.61,1.8,8.3,36.8,0.05,0.1,6.2,46.7,84.0,0.1
84,0.1,1.57,19.7,15.0,0.2,0.04,5.1,0.1,59.9,127.0,0.0
96,17.9,1.42,0.5,6.2,31.3,1.09,3.5,1.7,56.8,0.0,0.0
100,31.1,1.59,1.0,6.4,28.4,0.26,0.5,2.3,61.4,96.0,0.0
105,39.4,1.56,0.4,4.4,41.0,0.12,0.6,3.0,50.6,43.0,0.0
108,20.0,1.53,4.1,4.1,37.1,1.13,2.9,2.6,49.2,124.0,0.0
109,1.8,1.66,8.7,4.2,33.9,0.45,2.3,2.5,48.4,135.0,0.0
120,6.13,1.46,1.8,15.0,14.0,0.74,5.3,2.0,61.8,8.0,0.1
121,6.35,1.6,2.2,14.9,12.2,0.32,3.4,3.4,63.6,13.0,0.3
122,3.94,1.63,3.9,15.1,11.5,0.38,4.2,3.2,61.8,25.0,0.3
123,2.37,1.53,24.4,11.4,9.5,1.03,5.8,2.3,46.4,33.0,0.2
124,1.27,1.52,19.5,12.0,10.6,0.51,4.8,3.0,49.8,38.0,0.3
125,14.9,1.49,3.7,12.0,12.6,1.43,5.6,0.6,65.0,0.0,0.0
126,23.0,1.57,3.4,11.0,14.0,0.43,2.3,0.6,68.7,20.0,0.0
127,25.9,1.55,2.5,11.0,14.4,0.11,1.7,0.6,69.8,36.0,0.0
