Var1,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth_cm_Top,VCOS
4972,1.32,1.12,39,22.4,3.8,0.67,10.2,0.6,24,23,0
1420,34.2,1.61,0.4,8.8,28,0.03,1.4,7.3,53.8,33,0.3
5088,0.12,1.72,26.5,0.5,8.2,0.02,1.3,0.8,62.6,135,0.1
6715,1.47,1.02,11.6,0.7,1.5,2.19,83.4,0.9,1.7,0,0.2
14596,23.2,1.55,2.9,9.3,22.1,0.71,1,0.9,63.8,0,0
12600,20,1.38,1.8,34.2,7.9,0.64,6.4,1,48.7,18,0
5951,59.15,1.52,2.3,1,42.4,0.77,4.8,28,16,0,5.5
5543,2,1.65,13.5,22,18.7,0.02,8.5,2.3,34.9,175,0.1
4870,5.16,1.26,18,7.5,2.3,2.27,9.3,0.8,61.9,0,0.2
8424,7.74,1.55,1.7,4.7,7.8,0.6,1.1,0.6,84.1,99,0
2803,16.9,0.99,27.9,11.6,2,2.77,54.5,1.4,2.9,13,0.3
18142,39.4,1.21,18.2,6.9,10.7,3.03,33,10.7,14.2,0,6.3
6009,0.49,1.77,23.2,1.1,34.6,0.05,1.6,7.2,32.1,152,0.2
3077,1.22,1.63,8,25.7,5.9,0.21,25.8,1.8,32.6,58,0.2
4329,9.77,1.59,7.1,0.7,53.4,1,1.4,17.2,19.6,94,0.6
847,126,0.02,0.4,0.6,68.3,0.14,0.4,5.2,25,43,0.1
15171,32.9,1.53,1.1,0.4,57.5,0.16,1.7,6.7,32.5,117,0.1
905,1.7,1.86,20.9,12.8,18,0.08,4.6,1.6,42,107,0.1
3126,0.39,1.68,25.4,12.8,7.2,0.16,31.5,0.8,22.2,64,0.1
1102,30.9,1.59,0.6,5.2,26.1,0.01,1,2.7,64.4,46,0
86,38.5,1.51,2.9,10.6,29.7,1.23,6.1,19.9,25.6,25,5.2
17446,73.6,1.45,1.2,2.4,51.4,0.59,6.7,11.9,26.2,15,0.2
4437,0.03,1.3,85.4,0.9,0.2,0.15,12.6,0.2,0.7,122,0
6665,0.7,1.65,30.4,7.5,18.2,0.06,6.4,2.7,34.5,145,0.3
856,8.9,0.97,0.7,7.1,35.5,8.64,2.6,4.4,49.6,0,0.1
6136,8.62,1.67,11.9,9.4,23.2,0.15,11.5,13.6,28,25,2.4
1801,35.5,1.38,1.7,12.1,24.8,0.56,3.7,2.7,54.8,43,0.2
5892,75.6,1.5,2.2,0.5,42.7,0.27,2.7,0.9,51,36,0
1812,14,1.69,0.6,14,19.8,0.02,4,8.4,51.8,102,1.4
4077,0.63,2.09,14,9.5,3.8,0.05,3.5,0.2,69,86,0
15583,27,0.95,8.2,33.9,0.4,8.28,7.5,0,30,0,0
499,50.9,1.41,0.4,3.3,35.9,0.64,0.7,2.2,57.5,0,0
17780,0.08,1.41,6.4,3.7,46.8,2.42,2.8,11.5,28.7,56,0.1
46,11.91,0.73,16.51,6.26,8.29,7.92,41.35,8.92,9.23,0,9.44
1215,28.8,1.26,60.9,9.4,3.9,0.08,6.7,1.1,17.3,160,0.7
806,13,1.7,1.2,21.5,21.1,0.1,4.6,1.5,50.1,86,0
2522,2.53,1.69,14.7,7.8,25.6,0.05,5.5,12.4,32,112,2
4513,92.7,1.58,1.7,3.5,39.2,0.05,2,18.5,33,76,2.1
5558,3.2,1.65,1.4,15.3,22,0.2,14.9,1.8,44.5,38,0.1
4365,5.72,1.53,31.4,9.1,19.9,0.13,11.3,6.8,21.1,48,0.4
705,5.3,1.74,8.6,12.2,26.9,0.04,3.5,2.4,46.4,193,0
3079,0.22,1.79,13.8,23.2,7.2,0.07,20.8,3.2,31.4,91,0.4
10976,42.1,1.49,3.8,3.5,11.8,0.84,1.4,0.9,78.5,104,0.1
996,0.9,1.38,9.5,14.1,8.1,5.06,32.3,1.5,34.4,0,0.1
2145,5.05,1.64,7.2,15.8,24,0.12,1.8,1.5,49.7,160,0
5142,0.69,1.49,6,8.04,22.4,1.24,26.4,14.4,20.4,15,2.4
2487,0.43,1.5,56.3,2,6,0.11,7.1,0.4,28.2,76,0
5508,56.55,1.66,3.4,3.4,52.7,0.08,0.7,6.9,32.8,48,0.1
15304,0.03,1.67,17.2,30.7,13,0.1,0,1.7,37.3,203,0.1
2375,0.41,1.71,17.9,19.8,15.4,0.05,3.9,2,41,127,0
591,5.3,1.63,2.6,6.5,36.4,0.39,5.3,4.5,44.6,86,0.1
9943,13.1,1.43,3.4,10.3,9.7,1.17,3,0.5,73.1,0,0
2813,0.04,1.62,18.6,6.6,2.6,0.1,2,0.2,70,157,0
5933,20.4,1.49,1.6,2.2,22.8,0.09,3,5.3,64.7,155,0.4
12382,28.3,1.45,0.4,4.7,20.4,0.04,0.5,1.3,72.7,71,0
1169,37.15,1.62,1,4.2,31.5,0.73,3,9.7,50.2,127,0.4
1183,58.5,1.25,0,11.5,11.7,0.64,2.4,0.5,73.9,0,0
5957,6.18,1.67,14.2,0.8,32.6,0.25,1.6,27.2,11.2,152,12.4
11400,13.1,1.41,1.6,21.5,18.7,1.34,7.3,1.3,49.6,0,0
15480,5.65,1.41,5.9,24.5,7.1,2.35,5.2,0.5,56.8,0,0
1077,18.4,1.53,1.1,12,30.6,0.18,3.8,2.6,49.9,13,0
6233,0.05,1.46,51.3,13.8,2.4,0.27,25.3,2.6,4.2,150,0.4
4872,3.26,1.25,28.1,8.1,4.8,0.62,12.8,4.7,39.5,33,2
7916,72.3,1.49,0.2,1,67.8,0.89,0,8.3,22.7,0,0
554,0.9,1.37,5.6,3.7,7.2,2.22,5.8,0.6,77.1,53,0
2510,3.16,1.3,31.1,6.4,14.8,0.31,7.3,5,34.8,30,0.6
5930,20.7,1.53,1.6,2.9,23.8,0.25,5.4,3.7,62.4,10,0.2
393,30.9,1.44,7.2,15.9,14.1,0.21,5.5,1.9,55.3,53,0.1
6310,1.81,1.44,7.3,6.2,11.5,6.23,2.7,0.7,71.6,145,0
2332,0.37,1.7,32.2,20.6,5.2,0.1,0,0.6,41.4,81,0
16790,0.57,1.68,16.5,6.6,23.4,0.07,4.1,3,46.4,178,0
6554,6.18,1.79,1.6,12.5,41.3,0.16,5.8,5.2,33.6,89,0
4113,10.07,1.43,5.6,5.8,2.2,0.75,2.8,0.1,83.5,58,0
717,27.7,0.61,17.6,14.3,0.6,11.55,23.1,0,44.4,0,0
2374,16.4,1.6,1,22.4,16.8,0.04,3,2.4,54.3,81,0.1
11878,2.63,1.63,7.7,17.9,10.3,2.28,7.3,1,55.7,0,0.1
9506,2.23,0.61,26.8,11.7,1.4,4.96,27.9,0.3,31.9,66,0
7526,8.41,1.59,14.9,5.4,17.8,0.41,22.9,11.8,21,102,6.2
1195,1.12,1.76,15.5,16.6,19.6,0.16,3.5,6.6,37.4,132,0.8
6538,0.24,1.65,19.6,47,0.1,0.07,10.8,0,22.5,114,0
12108,0.14,1.11,6.1,23.5,13.9,4.74,18.1,2,36.2,0,0.2
2322,3.29,1.55,3.4,19.1,8,0.87,7.2,1,61.3,13,0
8808,22.4,1.32,3.9,4.9,35.5,2,9.2,23.6,20.6,0,2.3
11113,12.5,1.44,2,10.2,17,0.06,8.4,2.6,59.6,89,0.2
4730,0.14,1.85,17.6,10.5,24.1,0.12,6.3,4.9,36.3,127,0.3
9618,21.7,1.62,2.3,2.9,31.1,0.07,0.5,5.7,57.2,94,0.3
6993,0.05,1.52,28.9,31.8,0.1,0.09,15.4,0,23.8,178,0
3205,4.99,0.88,6.1,15.2,2.3,7.44,12.4,0.1,63.9,0,0
15523,15.8,1.3,3.9,20.3,21.4,1.76,3,0.6,50.8,33,0
2129,39.4,1.33,2.7,4.8,35.2,1.45,3.9,2.1,51.3,109,0
10573,0.44,1.65,12.4,8,30,0.17,4.1,3.2,42.1,83,0.2
13513,13.1,1.62,24.8,8.2,34,0.26,4.3,5.6,22.9,183,0.2
16205,3.29,1.78,5.8,5,35,0.22,10.1,11.4,31.5,13,1.2
5145,3.46,1.75,9,8.6,22.6,0.08,22.4,14.8,18.8,43,0
5849,77.55,1.57,1.3,4.6,46.3,0.05,1.5,5.1,41.2,104,0
18485,0.63,1.66,7.6,2.6,26.3,0.08,15,9.4,37.7,102,1.4
6533,0.44,1.82,23.4,15.7,1.7,0.12,6.5,0,52.7,152,0
740,72.3,1.62,0.4,2.2,64.5,0.16,0.9,14.3,17,30,0.7
5094,2.5,1.74,5.3,0.7,47.9,0.05,3.3,16.3,25.2,145,1.3
1539,94.7,1.42,1,0.6,69.8,0.5,0.6,8.2,19.8,5,0
8396,56.5,1.45,0.5,1.5,19.4,0.04,1.4,16.2,57.5,91,3.5
14800,0.329,1.12,4.6,0.6,57,4.14,4.8,4.9,28,155,0.1
11517,10.1,1.46,2.1,9.9,21.3,2.79,1.3,8.5,55.6,0,1.3
10697,30.9,0.9,2.1,16.4,14,2.74,5.1,0.5,61.9,0,0
15299,14.9,1.58,0.5,34.6,15.6,0.11,2.8,2,44.4,25,0.1
505,113.1,1.28,0.5,1.2,55.9,0.7,2.7,17.2,22.2,8,0.3
3380,3.95,1.37,14.5,3.2,26.2,0.88,2.7,4,49.3,41,0.1
2022,27.95,1.57,1.7,23,9.9,0.34,2.9,1.8,60.5,86,0.2
2123,30.9,1.61,0.1,8.2,45.1,0.19,1.7,5.4,39.5,23,0
5089,55.85,1.26,2.8,3.7,33.3,2.21,18.1,8.8,32.8,0,0.5
17825,0.03,1.24,40.7,8.6,7.6,0.34,4.1,0.8,38.2,36,0
2892,4.76,1.58,7.7,3.9,2.2,5.53,9.7,0,76.5,28,0
6030,51.7,1.4,0.1,5,4.9,0.28,2.8,0.9,86.3,13,0
5964,12.32,1.49,3.1,29.5,10.3,1.59,10.3,1.5,45.4,0,0
7951,12.3,1.68,6.6,8.1,28,0.09,5.4,20,24.3,56,7.6
17245,3.59,1.56,2.1,32.2,8,0.08,6.2,2,49.5,36,0
1352,98.75,1.56,0.5,0.5,63.9,0.09,0,5.5,29.6,5,0
10275,0.01,1.66,4.8,1.9,1.2,4.47,6.3,0.1,85.6,180,0.1
6140,4.02,1.71,11.6,13,22,0.1,13,7.6,32.2,23,0.6
6832,33.55,1.49,4,2.4,30,0.65,1.4,4.1,58.1,56,0
3094,0.5,1.66,29.6,12.2,5.7,0.09,26.8,1.1,24.4,152,0.2
4494,0.63,1.64,24.6,8.4,9,0.08,18.2,7.8,22.6,152,9.4
2567,3.94,1.77,1.8,22.9,17.2,0.1,5.7,5.3,46.9,104,0.2
4076,0.87,1.66,17.5,9.1,3.9,0.07,3.2,0.2,66.1,71,0
6850,23.35,1.43,2.7,10,22.4,1.22,4.6,7.4,52.5,30,0.4
4814,6.85,1.59,4,3,11.4,0.29,1.5,0.8,79.3,132,0
858,0.5,1.59,23.1,5.7,25.1,0.23,8.2,3.5,34.4,71,0
4402,4.05,1.28,4.4,37.1,7,1.48,19.2,4.7,27.1,0,0.5
17225,17.7,1.64,2.9,4.7,50.9,0.48,4.1,9.2,27.8,0,0.4
