,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
16211,0.2,1.29,78.4,2.0,0.4,0.24,17.2,0.2,1.7,61.0,0.1
7980,5.78,1.57,8.8,15.6,16.8,0.45,11.4,15.2,23.8,20.0,8.4
2227,6.96,1.3,3.1,14.3,18.3,1.08,6.8,2.3,55.1,0.0,0.1
152,53.9,1.47,0.6,4.7,12.4,0.05,0.6,0.8,80.9,198.0,0.0
1937,19.3,1.6,1.6,6.1,17.1,0.2,1.3,3.0,70.9,36.0,0.0
4676,0.9,1.77,18.4,9.8,23.6,0.11,4.0,3.0,40.7,71.0,0.5
17279,44.0,1.5,1.4,8.4,16.8,0.05,0.5,0.0,72.9,71.0,0.0
13867,0.59,1.42,33.2,5.4,23.0,0.41,16.2,5.0,17.2,76.0,0.0
2558,22.25,1.58,8.4,9.2,29.9,0.54,4.8,7.3,39.2,33.0,1.2
2753,7.03,1.19,8.2,5.6,34.0,4.37,0.3,7.2,44.5,8.0,0.2
15009,24.3,1.47,1.7,3.4,4.4,0.38,2.2,0.2,88.1,13.0,0.0
6151,11.5,1.7,3.7,14.6,25.0,0.04,11.1,9.2,35.8,30.0,0.6
4138,134.0,1.47,0.8,0.7,70.8,0.53,1.3,9.1,17.2,13.0,0.1
123,2.37,1.53,24.4,11.4,9.5,1.03,5.8,2.3,46.4,33.0,0.2
17649,14.5,1.46,5.0,7.26,33.2,0.12,8.64,19.8,23.6,46.0,2.6
2365,0.53,1.64,19.0,14.2,13.2,0.08,3.4,1.8,48.2,152.0,0.2
11015,38.1,1.51,3.0,1.7,43.5,0.53,2.1,3.7,45.9,96.0,0.1
4599,27.25,1.61,3.5,17.9,24.3,0.04,3.4,7.4,43.2,107.0,0.3
5895,118.85,1.49,1.8,0.8,48.5,0.04,0.7,1.5,47.7,190.0,0.0
1555,0.56,1.46,35.0,5.6,22.6,0.33,14.4,5.4,17.0,112.0,0.0
11357,20.0,1.55,3.5,2.2,40.0,0.11,7.3,15.4,30.0,89.0,1.6
379,192.5,1.24,1.3,1.0,73.3,0.47,3.9,7.6,12.9,0.0,0.0
6598,18.7,1.47,1.6,31.4,9.6,0.32,5.9,1.1,50.4,38.0,0.0
